/home/user/evcrl/TIV_visual_development/visual_dev/pretrain.py:221: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /__w/pytorch/pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:820.)
  log.append(dict(step=step, loss=float(loss), dev_all=summ['all'], z_head_latest=zh, detection=det['all'], wall_s=time.monotonic() - t1))
预训练 step 1 loss 9.2416 | ROI头 acc 0.384 unknown召回 None | Z头(最新帧) acc 0.575 | 检测 格一致 0.0 ≤2px 0.0 误检 0.0
预训练 step 200 loss 4.2059 | ROI头 acc 0.750 unknown召回 None | Z头(最新帧) acc 0.575 | 检测 格一致 0.11627906976744186 ≤2px 0.05232558139534884 误检 0.003246753246753247
预训练 step 400 loss 2.8019 | ROI头 acc 0.831 unknown召回 None | Z头(最新帧) acc 0.750 | 检测 格一致 0.18023255813953487 ≤2px 0.1686046511627907 误检 0.003246753246753247
预训练 step 600 loss 2.9001 | ROI头 acc 0.849 unknown召回 None | Z头(最新帧) acc 0.775 | 检测 格一致 0.22093023255813954 ≤2px 0.20930232558139536 误检 0.003246753246753247
预训练 step 800 loss 2.0373 | ROI头 acc 0.866 unknown召回 None | Z头(最新帧) acc 0.850 | 检测 格一致 0.28488372093023256 ≤2px 0.27325581395348836 误检 0.003246753246753247
预训练 step 1000 loss 2.3224 | ROI头 acc 0.919 unknown召回 None | Z头(最新帧) acc 0.900 | 检测 格一致 0.3430232558139535 ≤2px 0.32558139534883723 误检 0.003246753246753247
预训练 step 1200 loss 2.3182 | ROI头 acc 0.953 unknown召回 None | Z头(最新帧) acc 0.875 | 检测 格一致 0.43023255813953487 ≤2px 0.4127906976744186 误检 0.003246753246753247
预训练 step 1400 loss 2.1941 | ROI头 acc 0.948 unknown召回 None | Z头(最新帧) acc 0.900 | 检测 格一致 0.42441860465116277 ≤2px 0.4069767441860465 误检 0.003246753246753247
预训练 step 1600 loss 1.8147 | ROI头 acc 0.971 unknown召回 None | Z头(最新帧) acc 0.925 | 检测 格一致 0.45930232558139533 ≤2px 0.4476744186046512 误检 0.003246753246753247
预训练 step 1800 loss 2.2491 | ROI头 acc 0.965 unknown召回 None | Z头(最新帧) acc 0.875 | 检测 格一致 0.4883720930232558 ≤2px 0.4883720930232558 误检 0.003246753246753247
预训练 step 2000 loss 1.3060 | ROI头 acc 0.988 unknown召回 None | Z头(最新帧) acc 0.950 | 检测 格一致 0.5348837209302325 ≤2px 0.5232558139534884 误检 0.003246753246753247
预训练 step 2200 loss 1.9278 | ROI头 acc 0.988 unknown召回 None | Z头(最新帧) acc 0.950 | 检测 格一致 0.5523255813953488 ≤2px 0.5348837209302325 误检 0.006493506493506494
预训练 step 2400 loss 1.5965 | ROI头 acc 0.983 unknown召回 None | Z头(最新帧) acc 0.950 | 检测 格一致 0.5697674418604651 ≤2px 0.5523255813953488 误检 0.003246753246753247
预训练 step 2600 loss 1.3025 | ROI头 acc 0.994 unknown召回 None | Z头(最新帧) acc 0.950 | 检测 格一致 0.5755813953488372 ≤2px 0.5523255813953488 误检 0.006493506493506494
预训练 step 2800 loss 1.2931 | ROI头 acc 0.994 unknown召回 None | Z头(最新帧) acc 0.975 | 检测 格一致 0.5697674418604651 ≤2px 0.5406976744186046 误检 0.003246753246753247
预训练 step 3000 loss 1.5384 | ROI头 acc 1.000 unknown召回 None | Z头(最新帧) acc 0.950 | 检测 格一致 0.6104651162790697 ≤2px 0.5813953488372093 误检 0.003246753246753247
预训练 step 3200 loss 1.2954 | ROI头 acc 0.994 unknown召回 None | Z头(最新帧) acc 0.950 | 检测 格一致 0.627906976744186 ≤2px 0.6104651162790697 误检 0.003246753246753247
预训练 step 3400 loss 1.7715 | ROI头 acc 1.000 unknown召回 None | Z头(最新帧) acc 0.975 | 检测 格一致 0.6627906976744186 ≤2px 0.6569767441860465 误检 0.003246753246753247
预训练 step 3600 loss 1.1264 | ROI头 acc 1.000 unknown召回 None | Z头(最新帧) acc 0.975 | 检测 格一致 0.6744186046511628 ≤2px 0.6511627906976745 误检 0.003246753246753247
预训练 step 3800 loss 1.1951 | ROI头 acc 0.994 unknown召回 None | Z头(最新帧) acc 1.000 | 检测 格一致 0.7034883720930233 ≤2px 0.7034883720930233 误检 0.003246753246753247
预训练 step 4000 loss 1.0741 | ROI头 acc 0.994 unknown召回 None | Z头(最新帧) acc 0.975 | 检测 格一致 0.7093023255813954 ≤2px 0.7093023255813954 误检 0.003246753246753247
预训练 step 4200 loss 1.3559 | ROI头 acc 1.000 unknown召回 None | Z头(最新帧) acc 0.975 | 检测 格一致 0.7151162790697675 ≤2px 0.6918604651162791 误检 0.003246753246753247
预训练 step 4400 loss 0.6137 | ROI头 acc 1.000 unknown召回 None | Z头(最新帧) acc 1.000 | 检测 格一致 0.7209302325581395 ≤2px 0.7209302325581395 误检 0.003246753246753247
预训练 step 4600 loss 0.8609 | ROI头 acc 1.000 unknown召回 None | Z头(最新帧) acc 0.975 | 检测 格一致 0.7267441860465116 ≤2px 0.7325581395348837 误检 0.006493506493506494
预训练 step 4800 loss 0.8165 | ROI头 acc 1.000 unknown召回 None | Z头(最新帧) acc 1.000 | 检测 格一致 0.75 ≤2px 0.75 误检 0.006493506493506494
预训练 step 5000 loss 1.1024 | ROI头 acc 0.994 unknown召回 None | Z头(最新帧) acc 1.000 | 检测 格一致 0.7558139534883721 ≤2px 0.7558139534883721 误检 0.003246753246753247
预训练 step 5200 loss 0.7426 | ROI头 acc 1.000 unknown召回 None | Z头(最新帧) acc 1.000 | 检测 格一致 0.7325581395348837 ≤2px 0.7267441860465116 误检 0.003246753246753247
预训练 step 5400 loss 0.7788 | ROI头 acc 1.000 unknown召回 None | Z头(最新帧) acc 1.000 | 检测 格一致 0.7616279069767442 ≤2px 0.7558139534883721 误检 0.003246753246753247
预训练 step 5600 loss 0.9169 | ROI头 acc 1.000 unknown召回 None | Z头(最新帧) acc 1.000 | 检测 格一致 0.7616279069767442 ≤2px 0.7616279069767442 误检 0.003246753246753247
预训练 step 5800 loss 0.7747 | ROI头 acc 1.000 unknown召回 None | Z头(最新帧) acc 1.000 | 检测 格一致 0.7732558139534884 ≤2px 0.7558139534883721 误检 0.006493506493506494
预训练 step 6000 loss 0.9633 | ROI头 acc 1.000 unknown召回 None | Z头(最新帧) acc 0.975 | 检测 格一致 0.7732558139534884 ≤2px 0.7558139534883721 误检 0.003246753246753247
ROI 头按距离分层（dev）: {"0-5m": {"n": 88, "known_acc": 1.0, "green_recall": 1.0, "green_p_median": 0.9902368485927582, "yellow_to_green": 0.0, "red_to_green": 0.0, "n_yellow": 8, "n_green": 26, "n_red": 54}, "5-20m": {"n": 18, "known_acc": 0.9444444444444444, "green_recall": 0.8571428571428571, "green_p_median": 0.9924448132514954, "yellow_to_green": null, "red_to_green": 0.0, "n_yellow": 0, "n_green": 7, "n_red": 11}, "20-50m": {"n": 65, "known_acc": 0.9846153846153847, "green_recall": 1.0, "green_p_median": 0.996620774269104, "yellow_to_green": 0.0, "red_to_green": 0.0, "n_yellow": 8, "n_green": 39, "n_red": 18}, "50-100m": {"n": 106, "known_acc": 1.0, "green_recall": 1.0, "green_p_median": 0.999861478805542, "yellow_to_green": 0.0, "red_to_green": 0.0, "n_yellow": 19, "n_green": 27, "n_red": 60}, "100-200m": {"n": 208, "known_acc": 1.0, "green_recall": 1.0, "green_p_median": 0.9992146193981171, "yellow_to_green": 0.0, "red_to_green": 0.0, "n_yellow": 19, "n_green": 88, "n_red": 101}, "200-450m": {"n": 0, "known_acc": null, "green_recall": null, "green_p_median": null, "yellow_to_green": null, "red_to_green": null, "n_yellow": 0, "n_green": 0, "n_red": 0}}
