工况 0: 到达 False 违规 0 弯道超速 0 end_x 1555.7 时间 600.0 停车时长 519.0
0 x 0 v 16.0 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.06, 145) 灯 (0.03, 73) 终 (0.09, 53) 解 (0.04, 80) | 感知 unknown 真绿 True 目标 [] fb False
1 x 8 v 16.5 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.06, 215) 灯 (0.04, 93) 终 (0.03, 165) 解 (0.05, 116) | 感知 unknown 真绿 True 目标 [] fb False
2 x 17 v 17.5 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.04, 156) 灯 (0.03, 30) 终 (0.04, 41) 解 (0.03, 93) | 感知 unknown 真绿 True 目标 [] fb False
3 x 26 v 18.8 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.11, 168) 灯 (0.06, 86) 终 (0.04, 42) 解 (0.05, 81) | 感知 unknown 真绿 True 目标 [] fb False
4 x 35 v 20.1 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.05, 137) 灯 (0.03, 30) 终 (0.05, 41) 解 (0.02, 91) | 感知 unknown 真绿 True 目标 [] fb False
5 x 46 v 21.3 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.1, 124) 灯 (0.03, 47) 终 (0.06, 51) 解 (0.04, 80) | 感知 unknown 真绿 True 目标 [] fb False
6 x 57 v 22.0 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.04, 191) 灯 (0.05, 92) 终 (0.06, 42) 解 (0.03, 84) | 感知 unknown 真绿 True 目标 [] fb False
7 x 68 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.05, 176) 灯 (0.04, 71) 终 (0.11, 52) 解 (0.04, 77) | 感知 unknown 真绿 True 目标 [] fb False
8 x 79 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.16, 176) 灯 (0.04, 25) 终 (0.05, 44) 解 (0.03, 72) | 感知 unknown 真绿 True 目标 [] fb False
9 x 90 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.05, 137) 灯 (0.04, 67) 终 (0.11, 66) 解 (0.02, 67) | 感知 unknown 真绿 True 目标 [] fb False
10 x 101 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.13, 138) 灯 (0.05, 78) 终 (0.06, 38) 解 (0.03, 105) | 感知 unknown 真绿 True 目标 [] fb False
11 x 112 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None | 终 d None | 检 牌 (0.18, 147) 灯 (0.02, 65) 终 (0.04, 54) 解 (0.03, 124) | 感知 unknown 真绿 True 目标 [] fb False
