工况 2: 到达 False 违规 1 弯道超速 0 end_x 3000.3 时间 153.5 停车时长 0.0
0 x 0 v 16.0 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.08, 149) 灯 (0.03, 69) 终 (0.05, 102) 解 (0.04, 90) | 感知 unknown 真绿 False 目标 [] fb False
1 x 8 v 16.5 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.11, 143) 灯 (0.02, 68) 终 (0.05, 100) 解 (0.03, 84) | 感知 unknown 真绿 False 目标 [] fb False
2 x 17 v 17.5 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.09, 141) 灯 (0.03, 68) 终 (0.06, 104) 解 (0.03, 90) | 感知 unknown 真绿 False 目标 [] fb False
3 x 26 v 18.8 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.1, 143) 灯 (0.03, 69) 终 (0.04, 93) 解 (0.03, 93) | 感知 unknown 真绿 False 目标 [] fb False
4 x 35 v 20.1 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.09, 146) 灯 (0.03, 67) 终 (0.03, 83) 解 (0.03, 83) | 感知 unknown 真绿 False 目标 [] fb False
5 x 46 v 21.3 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.11, 135) 灯 (0.03, 66) 终 (0.04, 95) 解 (0.03, 95) | 感知 unknown 真绿 False 目标 [] fb False
6 x 57 v 22.0 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.1, 146) 灯 (0.03, 71) 终 (0.07, 115) 解 (0.04, 91) | 感知 unknown 真绿 False 目标 [] fb False
7 x 68 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.09, 152) 灯 (0.03, 70) 终 (0.08, 116) 解 (0.04, 98) | 感知 unknown 真绿 False 目标 [] fb False
8 x 79 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.09, 139) 灯 (0.03, 68) 终 (0.05, 103) 解 (0.03, 89) | 感知 unknown 真绿 False 目标 [] fb False
9 x 90 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.11, 142) 灯 (0.03, 65) 终 (0.06, 96) 解 (0.03, 88) | 感知 unknown 真绿 False 目标 [] fb False
10 x 101 v 22.2 vlim 22.2 | 弯 d None ann False act False rel None | 灯 d None unknown age None onset False gel 0.0 hold False | 终 d None | 检 牌 (0.08, 154) 灯 (0.03, 70) 终 (0.07, 106) 解 (0.04, 97) | 感知 unknown 真绿 False 目标 [] fb False
