[constant|stop|j2|early|cons] 到终 True 违规 0 线前停 True 时间 76.0 E 70 | 准备最大减速 0.00 v@cue None | 高速平顺 True 回退 0/0 | 采纳 d174 v16.0 M+127 (2s)
[constant|stop|j2|cons_d150|cons] 到终 True 违规 0 线前停 True 时间 76.0 E 70 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d158 v16.0 M+111 (2s)
[constant|stop|j2|cons_d120|cons] 到终 True 违规 0 线前停 True 时间 76.0 E 70 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d126 v16.0 M+79 (2s)
[constant|stop|j2|cons_d100|cons] 到终 True 违规 0 线前停 True 时间 76.0 E 70 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d102 v16.0 M+55 (2s)
[constant|stop|j2|cons_d89|cons] 到终 True 违规 0 线前停 True 时间 76.0 E 70 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d94 v15.7 M+52 (2s)
[constant|stop|j2|cons_d78|cons] 到终 True 违规 0 线前停 True 时间 76.0 E 70 | 准备最大减速 1.54 v@cue 14.959044105842732 | 高速平顺 True 回退 0/0 | 采纳 d79 v13.7 M+52 (2s)
[constant|stop|j2|cons_d67|cons] 到终 True 违规 0 线前停 True 时间 76.0 E 70 | 准备最大减速 2.54 v@cue 13.688566158764099 | 高速平顺 True 回退 0/0 | 采纳 d72 v12.9 M+46 (2s)
[constant|stop|j2|cons_d56|cons] 到终 True 违规 0 线前停 True 时间 76.0 E 70 | 准备最大减速 2.54 v@cue 12.647610264606831 | 高速平顺 True 回退 0/0 | 采纳 d59 v12.8 M+26 (2s)
[constant|stop|j2|cons_d44|cons] 到终 True 违规 0 线前停 True 时间 76.0 E 70 | 准备最大减速 2.54 v@cue 12.434099272657024 | 高速平顺 True 回退 0/0 | 采纳 d47 v11.8 M+24 (2s)
[constant|stop|j2|cons_d32|cons] 到终 True 违规 0 线前停 True 时间 76.0 E 70 | 准备最大减速 2.54 v@cue 10.901207684154647 | 高速平顺 True 回退 0/0 | 采纳 d36 v9.7 M+22 (2s)
[constant|stop|j2|min_d150|mini] 到终 True 违规 0 线前停 True 时间 76.0 E 70 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d158 v16.0 M+111 (2s)
[constant|stop|j2|min_d120|mini] 到终 True 违规 0 线前停 True 时间 76.0 E 70 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d126 v16.0 M+79 (2s)
[constant|stop|j2|min_d100|mini] 到终 True 违规 0 线前停 True 时间 76.0 E 70 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d102 v16.0 M+55 (2s)
[constant|stop|j2|min_d89|mini] 到终 True 违规 0 线前停 True 时间 72.5 E 69 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d94 v16.0 M+47 (2s)
[constant|stop|j2|min_d78|mini] 到终 True 违规 0 线前停 True 时间 72.5 E 70 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/0 | 采纳 d86 v16.0 M+39 (2s)
[constant|stop|j2|min_d67|mini] 到终 True 违规 0 线前停 True 时间 73.0 E 76 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 True 回退 0/6 | 采纳 d70 v16.0 M+23 (2s)
[constant|stop|j2|min_d56|mini] 到终 True 违规 0 线前停 True 时间 75.0 E 77 | 准备最大减速 -0.00 v@cue 16.0 | 高速平顺 False 回退 1/0 | 采纳 d62 v16.0 M+15 (2s)
