seed,condition,first_color,t_info,override_episode,n_override_substeps,first_override_index,event_class,x,v,phase,truth_green,end_distance_estimate,end_raw_distance_error,end_target_x
0,0,red,139.0,True,3,303,signal_terminal,2984.6893062906793,5.34002599648225,red,False,,,
0,1,red,140.5,False,0,,none,,,,,,,
0,2,green,140.0,True,1,389,endpoint,3992.472829074454,14.272303777239763,unknown,,48.532769841172524,41.00559891562631,4056.0
0,3,red,139.5,False,0,,none,,,,,,,
0,4,red,139.5,False,0,,none,,,,,,,
0,5,green,140.0,True,1,295,phase_flip,2988.852039199451,22.22222222222222,red,True,,,
0,6,red,139.5,False,0,,none,,,,,,,
0,7,yellow,139.5,False,0,,none,,,,,,,
0,8,green,139.0,True,1,388,endpoint,3992.6862912908973,13.79720546653259,unknown,,41.66008745832246,34.346378749219774,4049.3
1,0,red,139.0,False,0,,none,,,,,,,
1,1,red,140.5,False,0,,none,,,,,,,
1,2,green,140.0,False,0,,none,,,,,,,
1,3,red,139.5,False,0,,none,,,,,,,
1,4,red,139.5,False,0,,none,,,,,,,
1,5,green,140.0,False,0,,none,,,,,,,
1,6,red,139.5,False,0,,none,,,,,,,
1,7,yellow,139.5,False,0,,none,,,,,,,
1,8,green,139.0,False,0,,none,,,,,,,
2,0,red,139.0,False,0,,none,,,,,,,
2,1,red,140.5,False,0,,none,,,,,,,
2,2,green,140.0,False,0,,none,,,,,,,
2,3,red,139.5,True,5,304,signal_terminal,2985.9905851866447,5.309348840098626,red,False,,,
2,4,red,139.5,False,0,,none,,,,,,,
2,5,green,140.0,True,1,295,phase_flip,2988.243837280056,22.22222222222222,yellow,True,,,
2,6,red,139.5,True,1,305,signal_terminal,2986.901621700248,5.800013803098837,red,False,,,
2,7,yellow,139.5,True,1,291,range_update,2910.178667503497,13.742240023860246,red,False,,,
2,8,green,139.0,True,1,387,endpoint,3985.7738161875227,13.192678057621265,unknown,,39.250113925602676,25.023930113125374,4040.0
